fecha,producto,categoria,cantidad,precio_unitario,canal
2026-06-05,Notebook Pro 14,Computacion,2,1850000.00,online
2026-06-05,Mouse Inalambrico,Accesorios,18,12500.50,online
2026-06-05,Monitor 27 4K,Computacion,4,289000.00,online
2026-06-05,Auriculares BT,Audio,30,28750.00,online
2026-06-05,Notebook Air 13,Computacion,3,1320000.00,online
2026-06-05,SSD 1TB,Almacenamiento,10,98500.00,online
2026-06-05,Microfono USB,Audio,6,67800.00,online
2026-06-05,Tablet 10,Computacion,5,420000.00,online
2026-06-05,Hub USB-C,Accesorios,22,18900.00,online
2026-06-05,Auriculares Gamer,Audio,11,54200.00,online
