fecha,producto,categoria,cantidad,precio_unitario,region
2026-06-05,Notebook Pro 14,Computacion,3,1850000.00,Centro
2026-06-05,Mouse Inalambrico,Accesorios,25,12500.50,Centro
2026-06-05,Teclado Mecanico,Accesorios,12,34900.00,Norte
2026-06-05,Monitor 27 4K,Computacion,7,289000.00,Sur
2026-06-05,Auriculares BT,Audio,40,28750.00,Centro
2026-06-05,Webcam HD,Accesorios,18,21500.00,Oeste
2026-06-05,Notebook Air 13,Computacion,5,1320000.00,Norte
2026-06-05,Parlante Bluetooth,Audio,22,45600.00,Sur
2026-06-05,Hub USB-C,Accesorios,30,18900.00,Centro
2026-06-05,Microfono USB,Audio,9,67800.00,Oeste
2026-06-05,SSD 1TB,Almacenamiento,15,98500.00,Norte
2026-06-05,Disco Externo 2TB,Almacenamiento,11,76400.00,Sur
2026-06-05,Notebook Pro 16,Computacion,2,2450000.00,Centro
2026-06-05,Soporte Monitor,Accesorios,14,42300.00,Oeste
2026-06-05,Cargador 65W,Accesorios,28,23900.00,Norte
2026-06-05,Auriculares Gamer,Audio,16,54200.00,Centro
2026-06-05,Memoria RAM 16GB,Almacenamiento,20,61500.00,Sur
2026-06-05,Tablet 10,Computacion,6,420000.00,Oeste
2026-06-05,Cable HDMI,Accesorios,55,8900.00,Centro
2026-06-05,Base Refrigerante,Accesorios,13,31200.00,Norte
