fecha,producto,categoria,cantidad,precio_unitario,canal
2026-06-05,Teclado Mecanico,Accesorios,9,34900.00,tienda
2026-06-05,Monitor 27 4K,Computacion,3,289000.00,tienda
2026-06-05,Parlante Bluetooth,Audio,14,45600.00,tienda
2026-06-05,Notebook Pro 16,Computacion,2,2450000.00,tienda
2026-06-05,Soporte Monitor,Accesorios,10,42300.00,tienda
2026-06-05,Cargador 65W,Accesorios,20,23900.00,tienda
2026-06-05,Memoria RAM 16GB,Almacenamiento,12,61500.00,tienda
2026-06-05,Disco Externo 2TB,Almacenamiento,7,76400.00,tienda
2026-06-05,Webcam HD,Accesorios,15,21500.00,tienda
2026-06-05,Cable HDMI,Accesorios,40,8900.00,tienda
